in s,C2 in V
-1.186008E-04,1.78836E+01
-1.186000E-04,1.67117E+01
-1.185992E-04,1.74930E+01
-1.185984E-04,1.72977E+01
-1.185976E-04,1.80789E+01
-1.185968E-04,1.78836E+01
-1.185960E-04,1.80789E+01
-1.185952E-04,1.88602E+01
-1.185944E-04,1.84695E+01
-1.185936E-04,1.78836E+01
-1.185928E-04,1.84695E+01
-1.185920E-04,1.84695E+01
-1.185912E-04,1.86648E+01
-1.185904E-04,1.84695E+01
-1.185896E-04,1.80789E+01
-1.185888E-04,1.86648E+01
-1.185880E-04,1.80789E+01
-1.185872E-04,1.86648E+01
-1.185864E-04,1.88602E+01
-1.185856E-04,1.84695E+01
-1.185848E-04,1.84695E+01
-1.185840E-04,1.92508E+01
-1.185832E-04,1.90555E+01
-1.185824E-04,1.92508E+01
-1.185816E-04,1.96414E+01
-1.185808E-04,1.80789E+01
-1.185800E-04,1.88602E+01
-1.185792E-04,1.88602E+01
-1.185784E-04,1.90555E+01
-1.185776E-04,1.90555E+01
-1.185768E-04,1.86648E+01
-1.185760E-04,1.90555E+01
-1.185752E-04,1.94461E+01
-1.185744E-04,1.90555E+01
-1.185736E-04,1.88602E+01
-1.185728E-04,1.88602E+01
-1.185720E-04,1.96414E+01
-1.185712E-04,1.92508E+01
-1.185704E-04,1.96414E+01
-1.185696E-04,1.96414E+01
-1.185688E-04,1.90555E+01
-1.185680E-04,1.88602E+01
-1.185672E-04,1.96414E+01
-1.185664E-04,1.94461E+01
-1.185656E-04,1.96414E+01
-1.185648E-04,1.92508E+01
-1.185640E-04,1.98367E+01
-1.185632E-04,1.96414E+01
-1.185624E-04,2.00320E+01
-1.185616E-04,1.92508E+01
-1.185608E-04,1.98367E+01
-1.185600E-04,1.94461E+01
-1.185592E-04,2.00320E+01
-1.185584E-04,1.94461E+01
-1.185576E-04,2.02273E+01
-1.185568E-04,1.94461E+01
-1.185560E-04,2.02273E+01
-1.185552E-04,1.92508E+01
-1.185544E-04,2.00320E+01
-1.185536E-04,1.88602E+01
-1.185528E-04,1.96414E+01
-1.185520E-04,1.96414E+01
-1.185512E-04,2.00320E+01
-1.185504E-04,1.94461E+01
-1.185496E-04,2.02273E+01
-1.185488E-04,1.94461E+01
-1.185480E-04,1.96414E+01
-1.185472E-04,1.98367E+01
-1.185464E-04,2.04227E+01
-1.185456E-04,2.00320E+01
-1.185448E-04,2.00320E+01
-1.185440E-04,2.04227E+01
-1.185432E-04,1.94461E+01
-1.185424E-04,1.92508E+01
-1.185416E-04,1.96414E+01
-1.185408E-04,1.96414E+01
-1.185400E-04,1.94461E+01
-1.185392E-04,1.96414E+01
-1.185384E-04,2.04227E+01
-1.185376E-04,2.04227E+01
-1.185368E-04,2.06180E+01
-1.185360E-04,1.96414E+01
-1.185352E-04,2.00320E+01
-1.185344E-04,1.98367E+01
-1.185336E-04,1.98367E+01
-1.185328E-04,1.92508E+01
-1.185320E-04,2.00320E+01
-1.185312E-04,1.90555E+01
-1.185304E-04,2.00320E+01
-1.185296E-04,1.96414E+01
-1.185288E-04,2.06180E+01
-1.185280E-04,2.04227E+01
-1.185272E-04,2.00320E+01
-1.185264E-04,2.06180E+01
-1.185256E-04,2.02273E+01
-1.185248E-04,2.06180E+01
-1.185240E-04,2.08133E+01
-1.185232E-04,2.00320E+01
-1.185224E-04,2.02273E+01
-1.185216E-04,2.04227E+01
-1.185208E-04,2.06180E+01
-1.185200E-04,2.04227E+01
-1.185192E-04,2.13992E+01
-1.185184E-04,2.06180E+01
-1.185176E-04,2.10086E+01
-1.185168E-04,2.06180E+01
-1.185160E-04,2.06180E+01
-1.185152E-04,2.04227E+01
-1.185144E-04,2.04227E+01
-1.185136E-04,2.02273E+01
-1.185128E-04,2.00320E+01
-1.185120E-04,2.02273E+01
-1.185112E-04,2.12039E+01
-1.185104E-04,2.00320E+01
-1.185096E-04,2.04227E+01
-1.185088E-04,2.06180E+01
-1.185080E-04,2.13992E+01
-1.185072E-04,2.12039E+01
-1.185064E-04,2.17898E+01
-1.185056E-04,2.13992E+01
-1.185048E-04,2.12039E+01
-1.185040E-04,2.06180E+01
-1.185032E-04,2.12039E+01
-1.185024E-04,2.06180E+01
-1.185016E-04,2.08133E+01
-1.185008E-04,2.10086E+01
-1.185000E-04,2.08133E+01
-1.184992E-04,2.12039E+01
-1.184984E-04,2.10086E+01
-1.184976E-04,2.10086E+01
-1.184968E-04,2.06180E+01
-1.184960E-04,2.12039E+01
-1.184952E-04,2.10086E+01
-1.184944E-04,2.10086E+01
-1.184936E-04,2.10086E+01
-1.184928E-04,2.08133E+01
-1.184920E-04,2.08133E+01
-1.184912E-04,2.08133E+01
-1.184904E-04,2.17898E+01
-1.184896E-04,2.10086E+01
-1.184888E-04,2.13992E+01
-1.184880E-04,2.12039E+01
-1.184872E-04,2.12039E+01
-1.184864E-04,2.13992E+01
-1.184856E-04,2.19852E+01
-1.184848E-04,2.10086E+01
-1.184840E-04,2.17898E+01
-1.184832E-04,2.15945E+01
-1.184824E-04,2.21805E+01
-1.184816E-04,2.19852E+01
-1.184808E-04,2.17898E+01
-1.184800E-04,2.12039E+01
-1.184792E-04,2.17898E+01
-1.184784E-04,2.08133E+01
-1.184776E-04,2.12039E+01
-1.184768E-04,2.10086E+01
-1.184760E-04,2.08133E+01
-1.184752E-04,2.06180E+01
-1.184744E-04,2.17898E+01
-1.184736E-04,2.08133E+01
-1.184728E-04,2.13992E+01
-1.184720E-04,2.17898E+01
-1.184712E-04,2.13992E+01
-1.184704E-04,2.15945E+01
-1.184696E-04,2.19852E+01
-1.184688E-04,2.15945E+01
-1.184680E-04,2.17898E+01
-1.184672E-04,2.13992E+01
