in s,C1 in V
-3.0421040E-03,-5.95098E+00
-3.0420576E-03,-6.19512E+00
-3.0420112E-03,-6.14629E+00
-3.0419648E-03,-5.70684E+00
-3.0419184E-03,-5.07207E+00
-3.0418720E-03,-3.70488E+00
-3.0418256E-03,-7.26367E-01
-3.0417792E-03,4.00996E+00
-3.0417328E-03,8.55098E+00
-3.0416864E-03,1.20178E+01
-3.0416400E-03,1.37756E+01
-3.0415936E-03,1.37756E+01
-3.0415472E-03,1.37756E+01
-3.0415008E-03,1.37756E+01
-3.0414544E-03,1.37756E+01
-3.0414080E-03,1.37756E+01
-3.0413616E-03,1.37756E+01
-3.0413152E-03,1.37756E+01
-3.0412688E-03,1.37756E+01
-3.0412224E-03,1.21643E+01
-3.0411760E-03,1.00158E+01
-3.0411296E-03,7.42793E+00
-3.0410832E-03,4.59590E+00
-3.0410368E-03,1.51973E+00
-3.0409904E-03,-1.26348E+00
-3.0409440E-03,-4.58379E+00
-3.0408976E-03,-7.07402E+00
-3.0408512E-03,-9.02715E+00
-3.0408048E-03,-1.03943E+01
-3.0407584E-03,-1.08826E+01
-3.0407120E-03,-9.90605E+00
-3.0406656E-03,-7.46465E+00
-3.0406192E-03,-5.46270E+00
-3.0405728E-03,-5.65801E+00
-3.0405264E-03,-7.46465E+00
-3.0404800E-03,-8.92949E+00
-3.0404336E-03,-8.68535E+00
-3.0403872E-03,-7.17168E+00
-3.0403408E-03,-6.48809E+00
-3.0402944E-03,-6.48809E+00
-3.0402480E-03,-6.87871E+00
-3.0402016E-03,-6.87871E+00
-3.0401552E-03,-6.29277E+00
-3.0401088E-03,-6.43926E+00
-3.0400624E-03,-6.87871E+00
-3.0400160E-03,-6.82988E+00
-3.0399696E-03,-6.24395E+00
-3.0399232E-03,-5.90215E+00
-3.0398768E-03,-5.65801E+00
-3.0398304E-03,-6.14629E+00
-3.0397840E-03,-6.14629E+00
-3.0397376E-03,-5.65801E+00
-3.0396912E-03,-5.46270E+00
-3.0396448E-03,-4.92559E+00
-3.0395984E-03,-2.58184E+00
-3.0395520E-03,1.86152E+00
-3.0395056E-03,6.69551E+00
-3.0394592E-03,1.07482E+01
-3.0394128E-03,1.31896E+01
-3.0393664E-03,1.37756E+01
-3.0393200E-03,1.37756E+01
-3.0392736E-03,1.37756E+01
-3.0392272E-03,1.37756E+01
-3.0391808E-03,1.37756E+01
-3.0391344E-03,1.37756E+01
-3.0390880E-03,1.37756E+01
-3.0390416E-03,1.37756E+01
-3.0389952E-03,1.31408E+01
-3.0389488E-03,1.08459E+01
-3.0389024E-03,8.50215E+00
-3.0388560E-03,5.96309E+00
-3.0388096E-03,2.98457E+00
-3.0387632E-03,5.48828E-02
-3.0387168E-03,-2.97246E+00
-3.0386704E-03,-5.85332E+00
-3.0386240E-03,-8.09941E+00
-3.0385776E-03,-9.90605E+00
-3.0385312E-03,-1.10291E+01
-3.0384848E-03,-1.06385E+01
-3.0384384E-03,-8.97832E+00
-3.0383920E-03,-6.19512E+00
-3.0383456E-03,-5.26738E+00
-3.0382992E-03,-6.39043E+00
-3.0382528E-03,-8.53887E+00
-3.0382064E-03,-9.02715E+00
-3.0381600E-03,-7.80645E+00
-3.0381136E-03,-6.73223E+00
-3.0380672E-03,-6.43926E+00
-3.0380208E-03,-6.78105E+00
-3.0379744E-03,-6.97637E+00
-3.0379280E-03,-6.68340E+00
-3.0378816E-03,-6.43926E+00
-3.0378352E-03,-6.58574E+00
-3.0377888E-03,-7.02520E+00
-3.0377424E-03,-6.63457E+00
-3.0376960E-03,-5.99980E+00
-3.0376496E-03,-5.70684E+00
-3.0376032E-03,-6.04863E+00
-3.0375568E-03,-6.19512E+00
-3.0375104E-03,-5.99980E+00
-3.0374640E-03,-5.65801E+00
-3.0374176E-03,-5.31621E+00
-3.0373712E-03,-3.80254E+00
-3.0373248E-03,-4.82227E-01
-3.0372784E-03,4.25410E+00
-3.0372320E-03,8.64863E+00
-3.0371856E-03,1.22131E+01
-3.0371392E-03,1.37756E+01
-3.0370928E-03,1.37756E+01
-3.0370464E-03,1.37756E+01
